1|0|All the way down|Finish your drink in one sip|0
2|2|Fuck you!1| Pick someone, that person must take all drinks and perfom all actions for the next round.|1
3|0|Prueba1|Esta es una descripcion de prueba|0
4|1|prueba2|mandas beber 2|1
5|0|prueba3|jajaja otra mas|0
6|0|prueba4|otra234|0
7|0|Take a drink. The player on yourleft must do the same. Same asthe person to thier lett Continueuntil it's your tum again.Draw another card.|0
8|0|Each female player mustrun to the kitchen, last onethere drinks for each onethat made it before them|0
9|2|It anyonesever lived ina housewith abasement,they mustdrink.|0
10|0|The player who hasnt taken adrink tor the longest time drinks.|0
11|1|Frosted ButtsNegate any single otherInstant card played bysomeone else.|0
12|2|THIS PUASESStarting with you, goingclockwise, name a lady gaga song,the first one who cant takes twodrinks for gaga|0
13|2|to use even gowent to do 100k more like?Person who drawn the card Says theelse has to it from the left.if they stutter they hove to drink till they|0
14|1|The player to your left mustcomplete the given action|0
15|Status|JOE'SFor the purpose of anyeard effect you areeonsidered Se a niggerwith the darkest skin.|0
16|0|WHEN 1 PLAYSing a song the first person to guessthe song chooses who drinks.|0
17|0|Take a drink. The player on yourleft must do the same. Same asthe person to thier lett Continueuntil it's your tum again.Draw another card.|0
18|2|All players with facial hair mustdrink.|0
19|1|Use only when someone tries to leave.Target player must sit back down and|0
20|0|You started the waterfall. Only youcan stop it Until you stop drinking,everybody must drink aswell.|0
21|2|It anyonesever lived ina housewith abasement,they mustdrink.|0
22|2|4CHAN PARTY VANA" drink 1 drink|0
23|2|The persons wtn is using whitet-shirts must take it off or elseeveryone can throw ttp rct ofyour drinks at tpr.|0
24|0|You must hold your eyes opal forone whole minute without uinkinä.If unsuccessful. drink|0
25|0|ave ttls ca•d to ttp player that haveeotp the bneest without drinWne. Ityou the rieht player tp drinks. Itnot you drink|0
26|Status|FAGSEVERYWHEREYou Refer To All Plays asrag, Usmg Name or thcknameand you must a dlink|0